TF	target
IRF1	TNFRSF25
POU5F1	TNFRSF25
POU4F1	TNFRSF25
POU4F2	TNFRSF25
POU4F3	TNFRSF25
ZNF384	TNFRSF25
Nfe2l2	TNFRSF25
HLTF	TNFRSF25
Rhox11	TNFRSF25
MEF2A	NOL9
MEF2D	NOL9
MEF2B	NOL9
Arid3a	NOL9
MEF2C	NOL9
ZNF384	NOL9
Zfx	NOL9
Arid5a	NOL9
IRF7	NOL9
SP2	ZBTB48
RUNX1	ZBTB48
STAT3	ZBTB48
STAT1	ZBTB48
Stat4	ZBTB48
Bcl6	ZBTB48
Rfx1	ZBTB48
BCL6B	ZBTB48
NFATC1	ZBTB48
NFATC3	ZBTB48
NFAT5	ZBTB48
Stat5a	ZBTB48
NFATC2	ZBTB48
Nkx2-5(var	ZBTB48
Ddit3	ZBTB48
RELA	ZBTB48
REL	ZBTB48
Gfi1b	ZBTB48
Zfx	ZBTB48
GLI2	ZBTB48
EWSR1-FLI1	ZBTB48
TEAD2	ZBTB48
ZBTB18	PHF13
Esrra	PHF13
Dlx3	PHF13
MSX1	PHF13
DLX6	PHF13
Dlx2	PHF13
Dlx4	PHF13
TBX20	PHF13
TBX2	PHF13
TBX21	PHF13
FOXO6	PHF13
FOXI1	PHF13
FOXL1	PHF13
FOXO4	PHF13
FOXD2	PHF13
FOXP3	PHF13
Arid3b	PHF13
FOXA1	PHF13
FOXD1	PHF13
FOXG1	PHF13
FOXO3	PHF13
ZEB1	PHF13
ID4	PHF13
TCF3	PHF13
FIGLA	PHF13
TCF4	PHF13
Arid3a	PHF13
ZNF354C	PHF13
FOXP1	PHF13
Nr2f6(var	PHF13
NKX3-2	PHF13
FOXP2	PHF13
FOXK2	PHF13
MEF2C	PHF13
ESRRB	PHF13
NR2F2	PHF13
ZNF384	PHF13
SOX4	PHF13
Nkx2-5(var	PHF13
Rarg	PHF13
PKNOX1	PHF13
PKNOX2	PHF13
TGIF1	PHF13
TBR1	PHF13
FOXK1	PHF13
Foxa2	PHF13
RARA(var	PHF13
RARA	PHF13
Esrrg	PHF13
NR4A1	PHF13
Nr5a2	PHF13
RORA	PHF13
PLAG1	PHF13
Zfx	PHF13
TBX5	PHF13
MGA	PHF13
TBX4	PHF13
TBX1	PHF13
TBX15	PHF13
Hnf4a	PHF13
HOXA5	PHF13
Rarb	PHF13
NR2F1	PHF13
VDR	PHF13
EOMES	PHF13
SNAI2	PHF13
TCF7L2	PHF13
NR4A2	PHF13
Crx	THAP3
REST	THAP3
GSC2	THAP3
GSC	THAP3
POU1F1	THAP3
ZEB1	THAP3
MEF2B	THAP3
Stat5a	THAP3
SOX4	THAP3
POU3F3	THAP3
OTX2	THAP3
Dmbx1	THAP3
PITX3	THAP3
ZNF24	DNAJC11
GCM2	DNAJC11
